"","id","place","weight_lbs","grower_name","city","state_prov","country","gpc_site","seed_mother","pollinator_father","ott","est_weight","pct_chart","variety","weight_kg","weight_class"
"4765","2793-P",46,593.325848379172,"NOUYG","Paris","Florida","Canada","Regional Pumpkin Festival","1586 F","1074 Z",296,595,3,"Jarrahdale",269.130839326487,"Medium"
"4766","2010-P",46,594.633613166399,"SKVXR","Paris","California","UK","Local Pumpkin Festival","1586 M","1683 V",306,657,-9,"Knucklehead",269.724037542592,"Medium"
"4769","2317-P",22,591.431991835125,"MUATY","New York","Texas","UK","Regional Pumpkin Festival","1724 H","1467 W",302,636,-9,"Long Island Cheese",268.271791633459,"Medium"
"4772","2042-P",19,593.14236030262,"HCRRZ","Nottingham","California","UK","Regional Pumpkin Festival","1747 P","1694 Q",303,597,4,"Jarrahdale",269.047609680949,"Medium"
"4776","2481-P",68,591.171334972605,"PDVAV","Los Angeles","New York","Australia","National Pumpkin Festival","1477 Z","1886 A",-5,-1,-5,"Lumina",268.15355845623,"Medium"
"4777","2018-P",64,597.494909861125,"XJYQY","Nottingham","Florida","UK","Local Pumpkin Festival","1457 Y","1990 B",292,556,9,"Long Island Cheese",271.021913209256,"Medium"
"4778","2854-P",72,593.360120584257,"RJESA","Los Angeles","California","UK","Local Pumpkin Festival","1706 Q","1416 X",301,618,-2,"Knucklehead",269.146385096733,"Medium"
"4780","2105-P",5,597.856696533971,"BNWRE","Los Angeles","New York","UK","National Pumpkin Festival","1006 O","1565 Y",273,471,27,"Long Island Cheese",271.186018567527,"Medium"
"4783","2629-P",47,576.959080147557,"VOJTQ","Houston","New York","Canada","Local Pumpkin Festival","1107 B","1011 U",293,591,3,"Knucklehead",261.706921957524,"Medium"
"4789","2372-P",4,586.87263092678,"JBZOT","Los Angeles","Texas","UK","National Pumpkin Festival","1245 T","1333 R",287,564,4,"Jarrahdale",266.203679092253,"Medium"
"4790","2756-P",92,573.472769816406,"UHWUM","Houston","New York","Australia","Regional Pumpkin Festival","1002 X","1081 X",288,552,1,"Lumina",260.125541965166,"Medium"
"4791","2896-P",80,590.640217242762,"IDUFC","Nottingham","Texas","UK","National Pumpkin Festival","1160 C","1616 C",311,646,-10,"Lumina",267.912645034366,"Medium"
"4795","2985-P",43,586.319377101958,"HPPJP","Los Angeles","Florida","Canada","Regional Pumpkin Festival","1716 H","1449 N",0,5,-5,"Knucklehead",265.952724803573,"Medium"
"4797","2648-P",80,586.933876449242,"VGPZT","Chicago","Florida","UK","Local Pumpkin Festival","1429 D","1944 P",0,-2,3,"Knucklehead",266.231459878999,"Medium"
"4801","2735-P",17,570.210911277682,"YJKVL","Houston","California","UK","Regional Pumpkin Festival","1731 O","1858 B",292,535,3,"Lumina",258.645972637976,"Medium"
"4804","2961-P",61,568.440824929997,"RBFFZ","New York","Florida","UK","Regional Pumpkin Festival","1353 V","1572 J",312,691,-22,"Knucklehead",257.843066737729,"Medium"
"4805","2543-P",52,568.433643541299,"RGRUH","New York","Texas","Australia","National Pumpkin Festival","1154 I","1242 B",307,629,-12,"Long Island Cheese",257.839809281184,"Medium"
"4806","2663-P",41,568.573620188981,"ZHMMF","Houston","California","Australia","Regional Pumpkin Festival","1295 Q","1335 C",299,616,-10,"Long Island Cheese",257.903302272059,"Medium"
"4808","2326-P",77,578.557971946895,"MFNPI","Houston","Florida","UK","Regional Pumpkin Festival","1074 V","1328 L",288,536,8,"Knucklehead",262.432174520047,"Medium"
"4810","2357-P",33,576.913292669691,"FTGOB","Chicago","Texas","Australia","Local Pumpkin Festival","1787 M","1137 Y",288,513,13,"Lumina",261.686152893809,"Medium"
"4820","2737-P",29,561.183242872357,"PGCXE","Paris","California","UK","Regional Pumpkin Festival","1430 O","1213 V",294,583,-7,"Lumina",254.551049112019,"Medium"
"4821","2133-P",36,573.882760108449,"LJHSH","Paris","California","Canada","Regional Pumpkin Festival","1296 K","1941 W",303,590,0,"Jarrahdale",260.311512341671,"Medium"
"4822","2400-P",5,559.170397719368,"FTGYR","Los Angeles","Florida","Australia","Regional Pumpkin Festival","1556 H","1510 K",286,502,13,"Lumina",253.638028540038,"Medium"
"4823","2109-P",68,564.487947410904,"KOMTY","Chicago","Texas","Canada","Local Pumpkin Festival","1679 Q","1357 T",299,570,1,"Lumina",256.050053257237,"Medium"
"4826","2879-P",92,556.058151788078,"GSWTH","Los Angeles","Texas","Australia","National Pumpkin Festival","1400 Z","1027 B",297,611,-6,"Lumina",252.226323046393,"Medium"
"4828","2315-P",35,565.22440522816,"XTTUY","Houston","Florida","Australia","Local Pumpkin Festival","1601 V","1346 R",282,533,8,"Jarrahdale",256.384108331743,"Medium"
"4831","2883-P",52,566.154301330447,"AXBLO","Chicago","New York","Canada","Regional Pumpkin Festival","1982 Z","1457 S",2,2,2,"Jarrahdale",256.805906436745,"Medium"
"4833","2510-P",11,561.603367364034,"GOGWN","Nottingham","New York","Canada","Regional Pumpkin Festival","1094 S","1242 E",295,547,0,"Jarrahdale",254.741616331323,"Medium"
"4836","2277-P",39,552.025856621563,"KUJGR","Paris","New York","Australia","Local Pumpkin Festival","1300 K","1116 L",300,601,-9,"Long Island Cheese",250.397285957345,"Medium"
"4843","2197-P",5,556.861085306853,"TZNUN","Nottingham","Texas","Australia","National Pumpkin Festival","1036 V","1374 V",311,661,-12,"Knucklehead",252.590531301303,"Medium"
"4844","2152-P",18,558.124727492221,"YISPF","Los Angeles","Texas","Australia","Regional Pumpkin Festival","1494 A","1738 H",286,513,13,"Lumina",253.163715636497,"Medium"
"4846","2969-P",85,544.495575519279,"VNWYX","Los Angeles","Florida","Australia","Regional Pumpkin Festival","1932 S","1028 G",276,465,22,"Knucklehead",246.981572856427,"Medium"
"4848","2248-P",70,551.877511673421,"SSGFS","New York","Florida","UK","National Pumpkin Festival","1572 L","1768 E",312,645,-20,"Jarrahdale",250.329997130282,"Medium"
"4851","2511-P",49,548.568476215936,"DKBLO","Los Angeles","New York","UK","Local Pumpkin Festival","1373 P","1823 C",6,2,5,"Long Island Cheese",248.829028493122,"Medium"
"4864","2203-P",27,550.575048014522,"UGMAB","Paris","New York","Australia","National Pumpkin Festival","1902 F","1391 A",304,632,-19,"Lumina",249.739203490212,"Medium"
"4865","2806-P",58,544.592740311287,"HJXKY","Houston","Florida","Canada","Local Pumpkin Festival","1592 H","1156 P",267,406,29,"Jarrahdale",247.025646516959,"Medium"
"4867","2809-P",49,540.611333495379,"PSYQS","Houston","California","Australia","National Pumpkin Festival","1504 S","1122 A",286,517,5,"Lumina",245.219692232323,"Medium"
"4872","2024-P",46,525.828139255755,"XLDKO","New York","California","Australia","Regional Pumpkin Festival","1065 L","1131 P",290,580,-7,"Long Island Cheese",238.51407931405,"Medium"
"4873","2808-P",34,538.398387412541,"YFAMW","Nottingham","New York","Australia","Local Pumpkin Festival","1761 K","1685 T",288,566,0,"Long Island Cheese",244.215906473982,"Medium"
"4875","2433-P",85,540.665733250789,"QGIEO","New York","California","Canada","Regional Pumpkin Festival","1715 R","1676 I",315,717,-28,"Lumina",245.244367799505,"Medium"
"4878","2367-P",46,537.451901343651,"QAYGJ","Houston","New York","UK","National Pumpkin Festival","1249 O","1753 W",293,544,-2,"Long Island Cheese",243.786583209494,"Medium"
"4880","2138-P",58,523.093537702225,"UGCWI","Los Angeles","Texas","Canada","National Pumpkin Festival","1175 I","1623 J",-4,-5,-2,"Lumina",237.27367218644,"Medium"
"4881","2513-P",22,527.351570460014,"NIQWY","Paris","California","Australia","National Pumpkin Festival","1274 O","1766 R",280,512,3,"Lumina",239.205103175186,"Medium"
"4885","2747-P",12,534.009037616476,"WPRGH","Houston","Texas","Canada","Regional Pumpkin Festival","1708 B","1680 A",292,573,-11,"Lumina",242.224910467421,"Medium"
"4887","2023-P",32,528.10028159339,"ICTYM","Los Angeles","New York","Australia","Local Pumpkin Festival","1888 I","1060 Q",301,594,-17,"Jarrahdale",239.544716317423,"Medium"
"4888","2496-P",43,529.694375558756,"XNVSD","Paris","New York","UK","Regional Pumpkin Festival","1495 S","1173 I",284,496,7,"Knucklehead",240.267792596732,"Medium"
"4889","2248-P",94,529.786349660717,"WNYYZ","New York","Texas","Australia","Local Pumpkin Festival","1567 L","1198 D",292,566,-3,"Knucklehead",240.309511775704,"Medium"
"4890","2546-P",48,518.670638797805,"PMNDV","Los Angeles","Texas","UK","Local Pumpkin Festival","1283 S","1500 M",295,563,-9,"Lumina",235.267458404157,"Medium"
"4893","2453-P",41,519.039018082432,"WBGNO","Los Angeles","Texas","Canada","Regional Pumpkin Festival","1456 T","1062 J",281,513,-3,"Long Island Cheese",235.434554151516,"Medium"
"4895","2734-P",8,516.066199106164,"WAHVA","New York","New York","Canada","Local Pumpkin Festival","1522 C","1203 W",2,3,-5,"Long Island Cheese",234.086092309791,"Medium"
"4896","2708-P",11,523.627717468515,"YTWDD","Houston","New York","Canada","Regional Pumpkin Festival","1046 P","1429 Y",284,499,-2,"Knucklehead",237.515974538925,"Medium"
"4903","2300-P",68,507.772984077223,"CNKUL","Chicago","California","UK","Regional Pumpkin Festival","1165 I","1272 N",280,516,-1,"Lumina",230.324314649924,"Medium"
"4905","2732-P",65,515.734650261514,"WNNZY","Chicago","Texas","Australia","Local Pumpkin Festival","1639 P","1222 S",285,539,-4,"Knucklehead",233.935702740413,"Medium"
"4907","2834-P",21,503.523833890446,"PLCYX","Chicago","Florida","Canada","Local Pumpkin Festival","1702 D","1672 Q",267,437,11,"Long Island Cheese",228.396912768958,"Medium"
"4910","2436-P",69,508.812050783075,"CDVVY","Houston","Florida","Canada","National Pumpkin Festival","1226 C","1929 G",260,414,20,"Knucklehead",230.795632215856,"Medium"
"4911","2110-P",16,501.450772494078,"KBSJS","Los Angeles","California","Canada","Regional Pumpkin Festival","1758 X","1686 A",283,497,0,"Knucklehead",227.45657828816,"Medium"
"4912","2159-P",63,508.697895797156,"RYZRJ","Houston","New York","Canada","National Pumpkin Festival","1538 X","1400 O",-1,3,5,"Knucklehead",230.743851853922,"Medium"
"4913","2266-P",26,496.308206295595,"WXYGQ","Paris","California","Canada","Regional Pumpkin Festival","1914 J","1324 Z",284,547,-5,"Lumina",225.12392556273,"Medium"
"4916","2713-P",91,490.301063751616,"ZLTUH","New York","Texas","Australia","Local Pumpkin Festival","1714 W","1702 I",273,441,10,"Knucklehead",222.399103579613,"Medium"
"4918","2503-P",91,489.532918143086,"CIMKN","Nottingham","Texas","UK","National Pumpkin Festival","1850 V","1732 F",274,451,15,"Lumina",222.050675017276,"Medium"
"4919","2404-P",66,507.345521599054,"MCBNE","Nottingham","Texas","Canada","Local Pumpkin Festival","1128 S","1913 A",0,0,2,"Jarrahdale",230.130418941783,"Medium"
"4922","2302-P",51,486.36468683742,"BFLGV","Nottingham","California","UK","National Pumpkin Festival","1787 N","1859 P",261,389,31,"Jarrahdale",220.613574724403,"Light"
"4923","2126-P",13,487.610705787316,"GNDZI","New York","California","Canada","Regional Pumpkin Festival","1643 P","1724 F",285,540,-6,"Jarrahdale",221.178765212427,"Light"
"4924","2443-P",56,485.584955970757,"PTBZR","Paris","Florida","UK","National Pumpkin Festival","1678 G","1583 W",274,457,11,"Knucklehead",220.259891123449,"Light"
"4925","2348-P",37,484.723611954786,"HPTYP","Paris","Florida","UK","National Pumpkin Festival","1205 W","1001 A",286,547,-12,"Long Island Cheese",219.869188040817,"Light"
"4927","2842-P",40,485.767463333905,"OJMKF","Nottingham","Texas","Canada","National Pumpkin Festival","1346 S","1883 P",5,1,-4,"Jarrahdale",220.342675920305,"Light"
"4935","2149-P",42,490.287089618854,"QRLSI","Los Angeles","Florida","Australia","National Pumpkin Festival","1286 E","1249 B",283,508,-1,"Long Island Cheese",222.392764954574,"Medium"
"4936","2979-P",75,476.725158184953,"AIRFS","Los Angeles","New York","Canada","National Pumpkin Festival","1613 I","1484 Q",272,474,5,"Jarrahdale",216.241113210992,"Light"
"4943","2651-P",10,488.655995786563,"MSNZU","Paris","New York","Australia","Local Pumpkin Festival","1778 A","1609 W",280,516,-8,"Lumina",221.652905645724,"Light"
"4946","2466-P",61,469.53851232864,"KGREJ","Nottingham","Texas","Australia","Regional Pumpkin Festival","1557 G","1928 L",2,0,3,"Knucklehead",212.981272035126,"Light"
"4951","2261-P",91,480.522009175085,"MZVFH","New York","Florida","UK","Local Pumpkin Festival","1970 X","1859 Q",284,497,-1,"Long Island Cheese",217.963353522219,"Light"
"4953","2356-P",14,466.319882268086,"AGUVD","Houston","California","UK","Local Pumpkin Festival","1319 X","1282 H",259,401,24,"Long Island Cheese",211.521311017004,"Light"
"4954","2095-P",48,479.403813559562,"KKBFP","Los Angeles","New York","Canada","Local Pumpkin Festival","1341 X","1417 P",279,481,-3,"Long Island Cheese",217.456143318317,"Light"
"4956","2609-P",72,477.791116015986,"HQPPT","Paris","New York","UK","Regional Pumpkin Festival","1541 O","1805 C",270,466,1,"Long Island Cheese",216.724628511288,"Light"
"4958","2278-P",29,477.02211299073,"GUWCP","Houston","Texas","UK","National Pumpkin Festival","1862 P","1371 N",280,466,-2,"Knucklehead",216.375811027275,"Light"
"4960","2502-P",60,463.302227867767,"LZBBV","New York","Texas","UK","Local Pumpkin Festival","1803 T","1639 A",8,4,-1,"Knucklehead",210.152511960341,"Light"
"4962","2059-P",95,473.133118084632,"NAHIO","Houston","New York","Australia","Local Pumpkin Festival","1154 I","1566 X",4,-2,3,"Long Island Cheese",214.611774509948,"Light"
"4966","2161-P",100,460.576945098117,"HZILU","New York","New York","UK","Local Pumpkin Festival","1941 Y","1861 C",266,426,12,"Long Island Cheese",208.916331805369,"Light"
"4972","2803-P",36,459.669929469936,"VTIKU","Paris","New York","Canada","National Pumpkin Festival","1625 N","1407 W",263,425,3,"Knucklehead",208.504912215339,"Light"
"4976","2977-P",47,456.372411422431,"WKVRX","New York","Texas","Canada","Regional Pumpkin Festival","1305 K","1073 I",-4,-4,4,"Long Island Cheese",207.009167841074,"Light"
"4978","2735-P",84,452.256366631016,"OKCPV","Paris","California","UK","Regional Pumpkin Festival","1610 V","1671 Q",278,474,0,"Knucklehead",205.142142171376,"Light"
"4979","2490-P",68,448.017286641523,"RGESW","Houston","Texas","UK","Local Pumpkin Festival","1698 L","1694 S",269,410,9,"Knucklehead",203.219308101934,"Light"
"4980","2866-P",83,455.866856935434,"MJTTG","Houston","New York","Australia","National Pumpkin Festival","1582 T","1640 E",278,477,-8,"Knucklehead",206.779849830098,"Light"
"4981","2008-P",83,448.433350545354,"KHWDV","Los Angeles","California","Australia","National Pumpkin Festival","1584 C","1154 Y",272,446,2,"Knucklehead",203.408033450673,"Light"
"4982","2899-P",76,460.974538504146,"PTTEB","Los Angeles","Texas","UK","Regional Pumpkin Festival","1441 L","1129 U",279,516,-16,"Jarrahdale",209.096678991266,"Light"
"4983","2160-P",67,448.793576852418,"AMLEL","New York","New York","Australia","Regional Pumpkin Festival","1711 C","1701 B",285,503,-3,"Jarrahdale",203.571431031669,"Light"
"4985","2032-P",65,459.348194378428,"HAMTF","Nottingham","California","Canada","Regional Pumpkin Festival","1666 T","1677 U",273,452,0,"Jarrahdale",208.358974135185,"Light"
"4987","2444-P",77,456.631111470796,"ZLSDW","Houston","California","Canada","Regional Pumpkin Festival","1930 W","1092 L",278,473,0,"Knucklehead",207.126513413225,"Light"
"4988","2447-P",15,462.097750319168,"FPDTR","Chicago","Texas","UK","Regional Pumpkin Festival","1503 S","1503 E",271,447,-4,"Knucklehead",209.606164528335,"Light"
"4989","2184-P",49,450.014393057674,"ZXOKR","Nottingham","Texas","UK","Local Pumpkin Festival","1752 L","1641 S",269,427,8,"Jarrahdale",204.125189629717,"Light"
"4990","2280-P",8,459.322789912112,"APMLA","Chicago","New York","Canada","Local Pumpkin Festival","1409 L","1484 Y",258,407,13,"Knucklehead",208.347450744857,"Light"
"4995","2380-P",31,454.514643813483,"JRQZU","Chicago","California","UK","Local Pumpkin Festival","1624 Y","1068 G",275,445,1,"Jarrahdale",206.166489981622,"Light"
"4996","2476-P",79,443.955735037103,"HRIUF","Paris","California","Canada","Regional Pumpkin Festival","1298 Y","1127 Y",276,480,-10,"Knucklehead",201.377000379708,"Light"
"4997","2728-P",12,437.219377424568,"RNYFG","Houston","California","Australia","National Pumpkin Festival","1711 L","1519 Z",276,451,-5,"Long Island Cheese",198.321408611344,"Light"
"4998","2856-P",10,436.53027197253,"FANDO","Houston","Texas","Australia","Regional Pumpkin Festival","1730 A","1570 G",272,476,-1,"Long Island Cheese",198.008832428799,"Light"
"4999","2500-P",81,442.401788087562,"OYSFY","Los Angeles","Florida","UK","Local Pumpkin Festival","1987 E","1633 B",276,471,0,"Knucklehead",200.672134667315,"Light"
"5001","2349-P",10,437.469781320542,"PRUJG","Chicago","Florida","Canada","National Pumpkin Festival","1784 J","1542 K",269,457,-7,"Jarrahdale",198.434991073456,"Light"
"5003","2943-P",7,448.265645126812,"BRHVK","Chicago","Florida","UK","Regional Pumpkin Festival","1252 R","1115 M",5,-4,4,"Long Island Cheese",203.331962771846,"Light"
"5004","2054-P",80,450.919486670755,"EUTDS","Houston","Florida","Canada","Regional Pumpkin Festival","1432 F","1191 H",270,428,-1,"Long Island Cheese",204.535737399417,"Light"
"5009","2167-P",85,441.807765649632,"LFQKB","Houston","Florida","UK","National Pumpkin Festival","1094 K","1628 H",272,464,-3,"Knucklehead",200.402687857041,"Light"
"5010","2119-P",34,447.489054724015,"BKWEB","Chicago","New York","UK","National Pumpkin Festival","1090 H","1029 G",293,536,-19,"Long Island Cheese",202.979703675957,"Light"
"5011","2600-P",33,452.628113473207,"RMZAZ","Nottingham","New York","Australia","National Pumpkin Festival","1338 F","1584 Q",262,419,8,"Knucklehead",205.310765432825,"Light"
"5012","2847-P",31,439.298185843974,"VTEQQ","Los Angeles","Texas","Australia","Local Pumpkin Festival","1409 Q","1389 A",256,363,24,"Lumina",199.264349924691,"Light"
"5015","2157-P",40,429.666273883544,"QTCEE","Paris","New York","Canada","National Pumpkin Festival","1485 M","1886 G",269,445,-6,"Long Island Cheese",194.895343320123,"Light"
"5018","2979-P",44,437.074829856865,"OBRXP","Nottingham","Texas","Australia","Local Pumpkin Festival","1232 D","1211 X",278,480,-6,"Long Island Cheese",198.255842264749,"Light"
"5026","2180-P",88,437.687604732439,"WKAVG","Paris","Florida","UK","National Pumpkin Festival","1418 Y","1414 K",259,380,11,"Knucklehead",198.533795124938,"Light"
"5027","2721-P",92,436.645627550781,"EQYUK","Los Angeles","Florida","UK","Local Pumpkin Festival","1710 O","1031 W",275,448,-1,"Long Island Cheese",198.061157375842,"Light"
"5029","2617-P",79,420.06259151455,"OBNWC","Nottingham","Florida","UK","National Pumpkin Festival","1920 I","1348 D",271,472,-5,"Knucklehead",190.539141574231,"Light"
"5030","2820-P",83,429.725288051181,"HMSDT","Nottingham","New York","Australia","Regional Pumpkin Festival","1012 P","1827 W",279,467,-11,"Long Island Cheese",194.922111970961,"Light"
"5031","2419-P",69,423.534456544556,"APLNO","Paris","California","Australia","National Pumpkin Festival","1337 L","1707 W",259,379,15,"Long Island Cheese",192.113969220972,"Light"
"5033","2744-P",83,430.620776304044,"PXCKN","Houston","New York","UK","National Pumpkin Festival","1166 Y","1128 B",255,381,6,"Knucklehead",195.328302777848,"Light"
"5034","2018-P",95,421.475052646361,"VJZJO","New York","New York","Australia","National Pumpkin Festival","1553 G","1833 V",261,409,3,"Jarrahdale",191.179829740706,"Light"
"5035","2180-P",74,413.918502947316,"TRFUK","Houston","New York","UK","Local Pumpkin Festival","1879 J","1973 V",286,511,-19,"Jarrahdale",187.752201282462,"Light"
"5038","2052-P",96,430.411515283771,"JDXGP","Paris","California","UK","Local Pumpkin Festival","1362 V","1535 I",3,-2,0,"Knucklehead",195.233382601729,"Light"
"5041","2438-P",83,411.075585907325,"PYQNK","New York","Florida","Australia","Regional Pumpkin Festival","1750 Y","1972 O",265,422,5,"Lumina",186.462662572496,"Light"
"5043","2103-P",50,425.691510468721,"LEJDH","Paris","California","Canada","Local Pumpkin Festival","1887 D","1705 X",263,412,6,"Lumina",193.092402462452,"Light"
"5048","2740-P",5,408.8837248547,"XKBQV","Paris","California","Canada","Regional Pumpkin Festival","1053 W","1294 R",269,419,-5,"Long Island Cheese",185.46844092112,"Light"
"5050","2091-P",35,414.876636862941,"QWXAP","Los Angeles","Texas","Canada","National Pumpkin Festival","1222 M","1811 Y",279,466,-14,"Knucklehead",188.18680797557,"Light"
"5058","2397-P",63,401.927742355503,"VNWGC","Houston","New York","Canada","Regional Pumpkin Festival","1884 L","1210 P",255,378,12,"Lumina",182.313227957681,"Light"
"5060","2052-P",92,408.193796963431,"CFGSK","Los Angeles","New York","Australia","Local Pumpkin Festival","1540 X","1699 R",256,389,-2,"Jarrahdale",185.155491682587,"Light"
"5061","2016-P",65,398.147940805182,"BKCRF","Chicago","Florida","UK","Regional Pumpkin Festival","1075 S","1276 J",263,390,-2,"Knucklehead",180.598721221619,"Light"
"5065","2077-P",58,395.709222247824,"TXEQT","Nottingham","Florida","Canada","National Pumpkin Festival","1627 R","1327 T",265,393,1,"Knucklehead",179.492525740644,"Light"
"5066","2415-P",74,400.515231988393,"GYMCD","Nottingham","California","UK","Local Pumpkin Festival","1993 J","1228 R",251,367,3,"Lumina",181.67251745822,"Light"
"5071","2881-P",18,395.729285942428,"UAVYU","Chicago","California","UK","National Pumpkin Festival","1250 G","1074 C",4,-4,-5,"Jarrahdale",179.501626572815,"Light"
"5072","2042-P",33,389.285595536977,"ONOOM","New York","Texas","Canada","Local Pumpkin Festival","1104 P","1070 E",4,4,-5,"Lumina",176.578787778725,"Light"
"5073","2953-P",14,393.562747034244,"JTJYR","Paris","Florida","Canada","Regional Pumpkin Festival","1012 G","1426 U",266,411,-6,"Long Island Cheese",178.518890970808,"Light"
"5076","2346-P",78,384.961740804836,"OJBTV","Los Angeles","New York","UK","Local Pumpkin Festival","1863 K","1876 N",263,399,-4,"Lumina",174.617500138273,"Light"
"5088","2421-P",57,389.780310503207,"JAKEB","Nottingham","Texas","Australia","National Pumpkin Festival","1423 V","1035 Y",256,379,1,"Knucklehead",176.803189015335,"Light"
"5091","2886-P",59,385.772056211717,"SZSIW","Nottingham","Texas","Canada","Local Pumpkin Festival","1762 L","1707 L",242,332,10,"Knucklehead",174.985056795662,"Light"
"5092","2729-P",88,379.762303149328,"LDYYM","New York","Texas","Canada","Local Pumpkin Festival","1208 D","1114 V",259,365,9,"Long Island Cheese",172.259050689162,"Light"
"5096","2301-P",2,378.094012690708,"IUKXM","Houston","Texas","Australia","Local Pumpkin Festival","1007 V","1812 R",0,-4,-4,"Knucklehead",171.502319101292,"Light"
"5097","2386-P",40,371.060680733994,"CYOFY","New York","Florida","UK","Local Pumpkin Festival","1103 K","1968 R",-3,1,-1,"Lumina",168.312020654084,"Light"
"5098","2538-P",59,369.788743745908,"FNWPP","New York","Florida","Australia","Regional Pumpkin Festival","1382 F","1449 H",252,344,8,"Long Island Cheese",167.73507382106,"Light"
"5099","2963-P",25,385.232121448964,"HVOZH","Nottingham","California","Australia","Regional Pumpkin Festival","1168 G","1375 E",5,-4,-5,"Knucklehead",174.740143993905,"Light"
"5101","2132-P",24,367.020427046344,"ZWACS","Chicago","New York","Australia","Regional Pumpkin Festival","1097 R","1110 U",257,368,8,"Knucklehead",166.479373603531,"Light"
"5103","2491-P",14,372.790125161596,"PRMCN","Houston","Florida","Canada","Regional Pumpkin Festival","1627 A","1712 X",259,400,-6,"Lumina",169.096491500316,"Light"
"5104","2093-P",34,373.036109284498,"BPKLB","Houston","New York","Australia","National Pumpkin Festival","1367 G","1944 U",258,363,-2,"Knucklehead",169.208069166514,"Light"
"5107","2048-P",43,364.548780160956,"QXPMD","Houston","Texas","Australia","Local Pumpkin Festival","1840 W","1829 D",0,3,2,"Lumina",165.358241930943,"Light"
"5113","2348-P",38,374.084370335564,"JXVRV","New York","New York","UK","Local Pumpkin Festival","1349 N","1001 X",269,416,-10,"Jarrahdale",169.683557260076,"Light"
"5118","2540-P",6,368.664585298859,"RVCCP","Houston","California","Canada","National Pumpkin Festival","1060 K","1043 G",257,373,-3,"Jarrahdale",167.22515889452,"Light"
"5120","2945-P",37,361.761895027012,"VMFCZ","Nottingham","Florida","Canada","National Pumpkin Festival","1004 H","1366 S",249,366,4,"Lumina",164.094119126831,"Light"
"5121","2653-P",8,372.667890853249,"GAUZZ","Chicago","New York","Australia","Regional Pumpkin Festival","1214 H","1404 V",246,361,4,"Knucklehead",169.041046381769,"Light"
"5123","2753-P",21,364.211898420006,"DOOFF","Los Angeles","Florida","UK","Regional Pumpkin Festival","1394 T","1387 J",255,371,1,"Knucklehead",165.205433375672,"Light"
"5124","2750-P",82,365.615827424452,"KQXJQ","Chicago","Florida","Australia","Local Pumpkin Festival","1031 B","1862 G",1,-4,-2,"Jarrahdale",165.842251394562,"Light"
"5125","2937-P",32,351.764083849266,"RCCJH","Houston","California","UK","Regional Pumpkin Festival","1635 N","1422 F",243,312,18,"Lumina",159.559141726057,"Light"
"5130","2760-P",3,365.854522878304,"OCVJA","Houston","New York","UK","National Pumpkin Festival","1202 C","1722 J",255,381,-4,"Long Island Cheese",165.950522942168,"Light"
"5133","2747-P",12,362.785428521223,"JDHWD","New York","California","Australia","National Pumpkin Festival","1894 O","1047 H",245,350,4,"Jarrahdale",164.558390874183,"Light"
"5134","2670-P",29,348.504333711229,"ZSGYN","New York","California","UK","Regional Pumpkin Festival","1570 X","1367 B",265,400,-16,"Knucklehead",158.080528763145,"Light"
"5143","2999-P",7,347.495355977677,"OMKHB","New York","Florida","Australia","Local Pumpkin Festival","1008 F","1783 E",256,369,-2,"Jarrahdale",157.622859465516,"Light"
"5144","2943-P",30,345.263413470238,"PFMRV","Chicago","California","Canada","Local Pumpkin Festival","1083 H","1420 X",243,318,7,"Lumina",156.610456985502,"Light"
"5148","2033-P",96,348.400954264961,"RBKEI","Nottingham","New York","Canada","Local Pumpkin Festival","1880 R","1204 E",0,3,-1,"Jarrahdale",158.033636153933,"Light"
"5149","2923-P",17,348.123278868385,"PSISQ","New York","New York","Canada","Regional Pumpkin Festival","1799 T","1707 W",248,343,-6,"Long Island Cheese",157.907683420296,"Light"
"5152","2782-P",70,328.445915008895,"OKHQF","Paris","Texas","Australia","Local Pumpkin Festival","1124 B","1861 G",239,327,1,"Jarrahdale",148.982089725526,"Light"
"5153","2619-P",57,344.690909058601,"KXXGA","Los Angeles","New York","Australia","Regional Pumpkin Festival","1032 Z","1252 H",2,5,1,"Long Island Cheese",156.350770687926,"Light"
"5155","2510-P",46,326.088425353169,"NJSCA","Nottingham","New York","Australia","Local Pumpkin Festival","1300 F","1523 J",246,320,1,"Long Island Cheese",147.912739432627,"Light"
"5157","2014-P",7,334.788406291045,"MWXSW","New York","Florida","Australia","Regional Pumpkin Festival","1649 Y","1593 L",186,140,134,"Long Island Cheese",151.859024898415,"Light"
"5159","2457-P",92,331.295251144096,"CXRMO","Houston","New York","UK","Local Pumpkin Festival","1963 V","1317 D",254,361,-9,"Knucklehead",150.274540117979,"Light"
"5161","2935-P",49,338.713354843669,"KVZRG","New York","Florida","Canada","Local Pumpkin Festival","1915 K","1382 Z",227,264,25,"Long Island Cheese",153.639369882822,"Light"
"5165","2827-P",22,329.77631744463,"VLJTP","New York","Texas","Australia","Local Pumpkin Festival","1117 Z","1173 N",235,316,5,"Knucklehead",149.585556311635,"Light"
"5167","2842-P",92,329.348625650257,"PUMSL","Los Angeles","California","Canada","Regional Pumpkin Festival","1150 P","1154 W",250,344,-9,"Jarrahdale",149.391556586345,"Light"
"5169","2866-P",33,335.80486810673,"BCXZV","Paris","Texas","UK","Local Pumpkin Festival","1680 L","1469 Z",245,323,-1,"Jarrahdale",152.320088953429,"Light"
